Name,Type,MV,Colors,Cost,Sub-types,Produced,Flags,Power,FlagsVer
"Morlun, Devourer of Spiders",Creature,2,B,{X}{B}{B},Vampire;Villain,,,2,3
Mortality Spear,Instant,4,B G,{2}{B}{G},,,removal,,3
Moss Diamond,Artifact,2,G,{2},,G,ramp;rock,,3
Mossdog,Creature,1,G,{G},Plant;Dog,,,1,3
Mossfire Valley,Land,0,G R,,,R G,mana2,,3
Most Decrepit Old Bird // Speak Secrets,Creature,1,U,{U} // {1}{U},Bird,,,1,3
Mountain,Land,0,R,,Mountain,R,,,3
Mountain Goat,Creature,1,R,{R},Goat,,,1,3
Mourner's Surprise,Sorcery,2,B,{1}{B},,,,,3
Mouth of the Storm,Creature,7,U,{6}{U},Elemental,,,6,3
"Ms. Marvel, Kamala Khan",Creature,3,U,{2}{U},Mutant;Inhuman;Hero,,draw,1,3
Mudbutton Cursetosser,Creature,1,B,{B},Goblin;Warlock,,,2,3
Mulch,Sorcery,2,G,{1}{G},,,,,3
Multani's Acolyte,Creature,2,G,{G}{G},Elf,,draw,2,3
Multani's Presence,Enchantment,1,G,{G},,,draw,,3
Muraganda Raceway,Land,0,,,,C,mana2,,3
Murder,Instant,3,B,{1}{B}{B},,,removal,,3
Murderous Rider // Swift End,Creature,3,B,{1}{B}{B} // {1}{B}{B},Zombie;Knight,,removal,2,3
Murdock's Crusade,Sorcery,2,W,{1}{W},,,removal,,3
Muse's Encouragement,Instant,5,U,{4}{U},,,,,3
Mutant Surveyor,Creature,3,B,{2}{B},Mutant;Scout,,draw,2,3
Mutant Town,Land,0,G U,,,U G,etb-tapped,,3
Mutant Town Musicians,Creature,3,R,{2}{R},Mutant;Bard;Performer,,,2,3
Muzzle,Enchantment,2,W,{1}{W},Aura,,,,3
My Precious // Allure of Power,Artifact,3,B,{3} // {1}{B},Equipment,,draw,,3
Mycoloth,Creature,5,G,{3}{G}{G},Fungus,,,4,3
Myriad Landscape,Land,0,,,,C,etb-tapped;fetch:basic;ramp,,3
Mysidian Elder,Creature,3,R,{2}{R},Human;Wizard,,,1,3
Mysterio's Mirage,Enchantment,3,U,{2}{U},,,,,3
Mysterio's Phantasm,Creature,2,U,{1}{U},Illusion;Villain,,,1,3
Mystic Compass,Artifact,2,,{2},,,,,3
Mystic Monastery,Land,0,R U W,,,W U R,etb-tapped;mana2,,3
Mystic Remora,Enchantment,1,U,{U},,,draw,,3
Mystic Veil,Enchantment,2,U,{1}{U},Aura,,,,3
Mystical Tutor,Instant,1,U,{U},,,,,3
Naktamun Lorespinner // Wheel of Fortune,Creature,3,R,{2}{R} // {2}{R},Jackal;Wizard,,draw,3,3
Nameless Inversion,Instant,2,B,{1}{B},Shapeshifter,,,,3
Namor the Sub-Mariner,Creature,3,U,{1}{U}{U},Mutant;Merfolk;Villain,,,*,3
"Namora, the Sea Queen",Creature,3,U,{2}{U},Mutant;Merfolk;Hero,,,2,3
Nasty Little Rabbit,Creature,1,G,{G},Rabbit,,,1,3
Nature's Lore,Sorcery,2,G,{1}{G},,,fetch:forest;ramp,,3
Nature's Resurgence,Sorcery,4,G,{2}{G}{G},,,,,3
Necklace of Girion,Artifact,3,G,{2}{G},,G,ramp;rock,,3
Necroblossom Snarl,Land,0,B G,,,B G,etb-tapped-cond,,3
Negate,Instant,2,U,{1}{U},,,counter,,3
"Neriv, Heart of the Storm",Creature,4,B R W,{1}{R}{W}{B},Spirit;Dragon,,,4,3
Nesting Bot,Creature,1,W,{W},Robot,,,1,3
Nether Traitor,Creature,2,B,{B}{B},Spirit,,,1,3
News Helicopter,Creature,3,,{3},Construct,,,1,3
Nezumi Linkbreaker,Creature,1,B,{B},Rat;Warlock,,,1,3
"Nick Fury, Agent of S.H.I.E.L.D.",Creature,1,B G R U W,{W},Human;Spy;Hero,,,2,3
"Night Nurse, Healer of Heroes",Creature,2,W,{1}{W},Human;Doctor;Hero,,,2,3
Night's Whisper,Sorcery,2,B,{1}{B},,,draw,,3
Nighthowl Pursuer,Creature,1,B,{B},Wolf,,,1,3
Nightwind Glider,Creature,3,W,{2}{W},Human;Rebel,,,2,3
Nihil Spellbomb,Artifact,1,B,{1},,,draw,,3
Nimble Thopterist,Creature,4,U,{3}{U},Vedalken;Artificer,,,3,3
"Nita, Forum Conciliator",Creature,3,B W,{1}{W}{B},Human;Advisor,,,2,3
"Niv-Mizzet, Visionary",Creature,6,R U,{4}{U}{R},Dragon;Wizard,,,5,3
Noble Purpose,Enchantment,5,W,{3}{W}{W},,,,,3
Nobody,Creature,3,R U,{1}{U/R}{U/R},Human;Hero,,,3,3
Noggle the Mind,Enchantment,2,U,{1}{U},Aura,,,,3
Nomads en-Kor,Creature,1,W,{W},Kor;Nomad;Soldier,,,1,3
"Nori, Teller of Tales",Creature,2,R W,{1}{R/W},Dwarf;Bard,,,2,3
Norn's Annex,Artifact,5,W,{3}{W/P}{W/P},,,,,3
Norritt,Creature,4,B,{3}{B},Imp,,,1,3
North Pole Gates,Land,0,U W,,,W U,draw;etb-tapped,,3
Northern Air Temple,Enchantment,1,B,{B},Shrine,,,,3
Nova Hellkite,Creature,5,R,{3}{R}{R},Dragon,,,4,3
Noxious Field,Enchantment,3,B,{1}{B}{B},Aura,,,,3
Ob Nixilis Reignited,Planeswalker,5,B,{3}{B}{B},Nixilis,,draw,,3
Observed Stasis,Enchantment,4,U,{3}{U},Aura,,draw,,3
Obsianus Golem,Creature,6,,{6},Golem,,,4,3
Obsidian Charmaw,Creature,5,R,{3}{R}{R},Dragon,,,4,3
Octopus Form,Instant,1,U,{U},Lesson,,,,3
Off Balance,Instant,1,W,{W},,,,,3
Ogre Warrior,Creature,4,R,{3}{R},Ogre;Warrior,,,3,3
Ohran Frostfang,Creature,5,G,{3}{G}{G},Snake,,draw,2,3
"Okoye, Dora Milaje Leader",Creature,4,W,{3}{W},Human;Warrior;Hero,,,3,3
Old Fat Spider,Creature,6,G,{4}{G}{G},Spider,,draw,6,3
Old Fat Spider Can't See Me,Enchantment,3,U,{2}{U},Saga,,draw,,3
"Old Hob, Alleycat Blues",Creature,5,R W,{4}{R},Cat;Mutant;Rebel,,,4,3
Old-Growth Educator,Creature,4,B G,{2}{B}{G},Treefolk;Druid,,,4,3
Omashu City,Land,0,G R,,,R G,draw;etb-tapped,,3
Ominous Harvest,Sorcery,3,B,{2}{B},,,,,3
Ooze Patrol,Creature,4,G,{3}{G},Ooze,,,2,3
Ooze Spill,Instant,3,U,{1}{U}{U},,,counter,,3
Opal Caryatid,Enchantment,1,W,{W},,,,,3
Opal Champion,Enchantment,3,W,{2}{W},,,,,3
Opal Gargoyle,Enchantment,2,W,{1}{W},,,,,3
Opal Titan,Enchantment,4,W,{2}{W}{W},,,,,3
Open the Way,Sorcery,2,G,{X}{G}{G},,,,,3
Ophidian,Creature,3,U,{2}{U},Snake,,draw,1,3
Ophiomancer,Creature,3,B,{2}{B},Human;Shaman,,,2,3
Opportunity,Instant,6,U,{4}{U}{U},,,,,3
Oracle's Restoration,Sorcery,1,G,{G},,,draw,,3
Oraxid,Creature,4,U,{3}{U},Crab;Beast,,,2,3
Orcish Librarian,Creature,2,R,{1}{R},Orc,,,1,3
Orcish Settlers,Creature,2,R,{1}{R},Orc,,,1,3
"Orcrist, Goblin-cleaver",Artifact,3,,{3},Equipment,,,,3
Order of Yawgmoth,Creature,4,B,{2}{B}{B},Phyrexian;Zombie;Knight,,,2,3
Ordinary Bear,Creature,4,G,{3}{G},Bear,,,4,3
"Ori, Keeper of Songs",Creature,3,W,{2}{W},Dwarf;Bard,,,3,3
Origin of Metalbending,Instant,2,G,{1}{G},Lesson,,removal,,3
Origin of Spider-Man,Enchantment,2,W,{1}{W},Saga,,,,3
Origin of Thor,Enchantment,3,R,{2}{R},Saga,,draw,,3
Origin of the Avengers,Enchantment,2,W,{1}{W},Saga,,draw,,3
Origin of the Hulk,Enchantment,3,G,{2}{G},Saga,,,,3
Orim's Cure,Instant,2,W,{1}{W},,,,,3
Oscorp Research Team,Creature,4,U,{3}{U},Human;Scientist,,draw,1,3
Ostrich-Horse,Creature,3,G,{2}{G},Bird;Horse,,,3,3
Otter-Penguin,Creature,2,U,{1}{U},Otter;Bird,,,2,3
Outbreak,Sorcery,4,B,{3}{B},,,wipe,,3
Outlaw Stitcher,Creature,4,U,{3}{U},Human;Warlock,,,1,3
Outlaws' Fury,Instant,3,R,{2}{R},,,,,3
Overkill,Instant,3,B,{2}{B},,,,,3
Overtaker,Creature,2,U,{1}{U},Merfolk;Spellshaper,,,1,3
Owlin Historian,Creature,3,W,{2}{W},Bird;Cleric,,,2,3
Pacifism,Enchantment,2,W,{1}{W},Aura,,,,3
"Page, Loose Leaf",Creature,2,,{2},Construct,C,dork;ramp;rock,0,3
Painful Memories,Sorcery,2,B,{1}{B},,,,,3
Paladin's Arms,Artifact,3,W,{2}{W},Equipment,,,,3
Panic,Instant,1,R,{R},,,draw,,3
Panic Attack,Sorcery,3,R,{2}{R},,,,,3
Panther Pounce,Instant,1,W,{W},,,draw,,3
Panther Warriors,Creature,5,G,{4}{G},Cat;Warrior,,,6,3
Papalymo Totolymo,Creature,2,B W,{W}{B},Dwarf;Wizard,,,1,3
Paradox Gardens,Land,0,G U,,,U G,etb-tapped,,3
Paradox Surveyor,Creature,3,G U,{G}{G/U}{U},Elf;Druid,,,3,3
Parapet Thrasher,Creature,4,R,{2}{R}{R},Dragon,,,4,3
Parch,Instant,2,R,{1}{R},,,,,3
Park Heights Pegasus,Creature,2,G W,{G}{W},Pegasus,,draw,2,3
Parker Luck,Enchantment,3,B,{2}{B},,,,,3
Part in Friendship,Enchantment,5,G,{4}{G},,,,,3
Passenger Ferry,Artifact,3,U,{3},Vehicle,,,4,3
Patagia Golem,Creature,4,,{4},Golem,,,2,3
Patchwork Banner,Artifact,3,,{3},,W U B R G,ramp;rock,,3
Path of Ancestry,Land,0,,,,W U B R G,etb-tapped,,3
Path of Peace,Sorcery,4,W,{3}{W},,,removal,,3
Path to Exile,Instant,1,W,{W},,,removal,,3
Patient Instructor,Creature,3,U W,{2}{W/U},Human;Citizen,,draw,2,3
"Patriot, Shield Wielder",Creature,2,W,{1}{W},Human;Hero,,,2,3
Pawn of Ulamog,Creature,3,B,{1}{B}{B},Vampire;Shaman,C,,2,3
Peace and Quiet,Instant,2,W,{1}{W},,,,,3
Peat Bog,Land,0,B,,,B,etb-tapped;mana2,,3
Pedal to the Metal,Instant,1,R,{X}{R},,,,,3
Pegasus Charger,Creature,3,W,{2}{W},Pegasus,,,2,3
Pensive Professor,Creature,3,U,{1}{U}{U},Human;Wizard,,draw,0,3
Perception Bobblehead,Artifact,3,,{3},Bobblehead,W U B R G,ramp;rock,,3
Perfect Intimidation,Sorcery,4,B,{3}{B},,,,,3
Perimeter Enforcer,Creature,2,W,{1}{W},Human;Detective,,,1,3
Perpetual Timepiece,Artifact,2,,{2},,,,,3
Pest Infestation,Sorcery,1,G,{X}{X}{G},,,,,3
Pest Mascot,Creature,3,B G,{1}{B}{G},Pest;Ape,,,2,3
Pest Rescuer,Creature,3,G,{2}{G},Dryad;Druid,,,2,3
Pestbrood Sloth,Creature,4,G,{3}{G},Plant;Sloth,,,4,3
Pet Avengers,Creature,4,G,{3}{G},Dragon;Cat;Dog;Bird;Frog;Hero,,,4,3
Peter Parker's Camera,Artifact,1,,{1},,,,,3
Phantasmal Terrain,Enchantment,2,U,{U}{U},Aura,,,,3
Phantom Warrior,Creature,3,U,{1}{U}{U},Illusion;Warrior,,,2,3
Photon Blast Barrage,Sorcery,2,R,{X}{R}{R},,,,,3
"Photon, Mighty Marvel",Creature,4,R,{3}{R},Human;Hero,,,2,3
Phyrexian Prowler,Creature,4,B,{3}{B},Phyrexian;Zombie;Mercenary,,,3,3
Phyrexian Vault,Artifact,3,,{3},,,draw,,3
Pick Your Poison,Sorcery,1,G,{G},,,,,3
Pictures of Spider-Man,Artifact,3,G,{2}{G},,W U B R G,ramp;rock,,3
Pigment Wrangler // Striking Palette,Creature,5,R,{4}{R} // {R},Orc;Sorcerer,,,4,3
Pilgrim's Eye,Creature,3,,{3},Thopter,,fetch:basic,1,3
Pillage,Sorcery,3,R,{1}{R}{R},,,removal,,3
Pious Warrior,Creature,4,W,{3}{W},Human;Rebel;Warrior,,,2,3
Pip-Boy 3000,Artifact,1,,{1},Equipment,,draw,,3
Pit Automaton,Creature,2,,{2},Construct,C,dork;mana-restricted;mana2;ramp;rock,0,3
Pitiless Fists,Enchantment,4,G,{3}{G},Aura,,,,3
Plains,Land,0,W,,Plains,W,,,3
Planar Collapse,Enchantment,2,W,{1}{W},,,,,3
Planar Engineering,Sorcery,4,G,{3}{G},,,fetch:basic;ramp,,3
Plaza of Heroes,Land,0,,,,W U B R G C,mana-restricted,,3
Plow Through,Sorcery,1,G,{G},,,removal,,3
Plumb the Forbidden,Instant,2,B,{1}{B},,,draw,,3
Plunder the Trollshaws,Instant,2,U,{1}{U},,,draw,,3
Poisoner's Apprentice,Creature,3,B,{2}{B},Orc;Warlock,,,2,3
Political Triumph,Enchantment,1,W,{W},Plan,,draw,,3
Polymorph,Sorcery,4,U,{3}{U},,,removal,,3
Port Inspector,Creature,2,U,{1}{U},Human,,,1,3
Port Town,Land,0,U W,,,W U,etb-tapped-cond,,3
Pothole Mole,Creature,3,G,{2}{G},Mole,,,2,3
Potioner's Trove,Artifact,3,,{3},,W U B R G,ramp;rock,,3
Powder Ganger,Creature,3,R,{2}{R},Human;Rogue,,,2,3
Power Sink,Instant,1,U,{X}{U},,,counter,,3
Powerful Broker,Creature,3,G,{2}{G},Human;Villain,,,3,3
Pradesh Gypsies,Creature,3,G,{2}{G},Human;Nomad,,,1,3
Prairie Dog,Creature,2,W,{1}{W},Squirrel,,,2,3
Prairie Stream,Land,0,U W,,Plains;Island,W U,etb-tapped-cond,,3
Pre-War Formalwear,Artifact,3,W,{2}{W},Equipment,,,,3
"Predator, Flagship",Artifact,5,,{5},,,,,3
"Preston Garvey, Minuteman",Creature,5,G R W,{2}{R}{G}{W},Human;Soldier,W U B R G,dork;ramp,4,3
Presumed Dead,Instant,2,B,{1}{B},,,,,3
Pride of the Road,Creature,4,W,{3}{W},Zombie;Cat;Warrior,,,2,3
Priest of Forgotten Gods,Creature,2,B,{1}{B},Human;Cleric,B,draw;mana2,1,3
Priest of Titania,Creature,2,G,{1}{G},Elf;Druid,G,dork;ramp,1,3
Primary Research,Enchantment,5,W,{4}{W},,,draw,,3
Prismabasher,Creature,6,G,{4}{G}{G},Elemental,,,6,3
Prismari Charm,Instant,2,R U,{U}{R},,,draw,,3
Prismatic Circle,Enchantment,3,W,{2}{W},,,,,3
Prismatic Ward,Enchantment,2,W,{1}{W},Aura,,,,3
Prison Break,Sorcery,5,B,{4}{B},,,,,3
Procrastinate,Sorcery,1,U,{X}{U},,,,,3
Proctor's Gaze,Instant,4,G U,{2}{G}{U},,,fetch:basic;ramp,,3
Prodigal Sorcerer,Creature,3,U,{2}{U},Human;Wizard;Sorcerer,,,1,3
Profane Command,Sorcery,2,B,{X}{B}{B},,,,,3
Professional Face-Breaker,Creature,3,R,{2}{R},Human;Warrior,,,2,3
Professional Wrestler,Creature,4,G,{3}{G},Human;Warrior;Performer,W U B R G,dork;ramp,4,3
Professor Hojo,Creature,2,G,{1}{G},Human;Scientist,,draw,2,3
Professor Hulk,Creature,6,U,{4}{U}{U},Gamma;Scientist;Hero,,,6,3
"Professor Zei, Anthropologist",Creature,2,R U,{U/R}{U/R},Human;Advisor;Ally,,draw,0,3
Project Deathlok Soldier,Creature,1,B,{B},Zombie;Soldier,,,1,3
Prompto Argentum,Creature,2,R,{1}{R},Human;Scout,,,2,3
Propaganda,Enchantment,3,U,{2}{U},,,,,3
Prosperity,Sorcery,1,U,{X}{U},,,,,3
Provoke,Instant,2,G,{1}{G},,,draw,,3
"Prowler, Clawed Thief",Creature,3,B U,{1}{U}{B},Human;Rogue;Villain,,draw,2,3
Psychic Theft,Sorcery,2,U,{1}{U},,,,,3
Psychic Transfer,Sorcery,5,U,{4}{U},,,,,3
Psychic Venom,Enchantment,2,U,{1}{U},Aura,,,,3
Puffer Extract,Artifact,5,,{5},,,,,3
Pull from the Grave,Sorcery,3,B,{2}{B},,,,,3
Pumpkin Bombardment,Sorcery,1,B R,{B/R},,,,,3
Punishing Punch,Instant,3,G,{2}{G},,,,,3
Puppet's Verdict,Instant,3,R,{1}{R}{R},,,wipe,,3
Puresteel Paladin,Creature,2,W,{W}{W},Human;Knight,,draw,2,3
Purple Dragon Punks,Creature,2,R,{1}{R},Human;Rogue,R,dork;mana-restricted;ramp,2,3
Pursue the Past,Sorcery,2,R W,{R}{W},,,draw,,3
Putrefaction,Enchantment,5,B,{4}{B},,,,,3
Pygmy Pyrosaur,Creature,2,R,{1}{R},Lizard,,,1,3
Pym Particles,Sorcery,1,U,{U},,,draw,,3
Pym Technologies,Land,0,G U,,,U G,etb-tapped,,3
Pyroclasm,Sorcery,2,R,{1}{R},,,,,3
Pyrotechnics,Sorcery,5,R,{4}{R},,,,,3
Qiqirn Merchant,Creature,3,U,{2}{U},Beast;Citizen,,draw,1,3
Quagmire Lamprey,Creature,3,B,{2}{B},Fish,,,1,3
Quandrix Charm,Instant,2,G U,{G}{U},,,counter;removal,,3
Quantum Reduction,Enchantment,2,U,{1}{U},Aura,,,,3
Quarrel,Instant,2,G,{1}{G},,,,,3
Quick Study,Instant,3,U,{2}{U},,,draw,,3
"Quicksilver, Brash Blur",Creature,1,R,{R},Mutant;Hero,,,1,3
"Quicksilver, Speedster",Creature,5,R U,{3}{U}{R},Mutant;Hero,,,3,3
Quinjet Technician,Creature,2,R,{1}{R},Human;Artificer,R,dork;mana-restricted;mana2;ramp,2,3
"Quintorius, Field Historian",Creature,5,R W,{3}{R}{W},Elephant;Cleric,,,2,3
"Quintorius, History Chaser",Planeswalker,4,R W,{2}{R}{W},Quintorius,,draw,,3
"Quintorius, Loremaster",Creature,5,R W,{3}{R}{W},Elephant;Cleric,,,3,3
Qutrub Forayer,Creature,3,B,{2}{B},Zombie;Horror,,,3,3
"Rabanastre, Royal City",Land,0,R W,,Town,W R,etb-tapped,,3
Rabaroo Troop,Creature,5,W,{3}{W}{W},Rabbit;Kangaroo,,fetch:plains,3,3
Rabid Attack,Instant,2,B,{1}{B},,,draw,,3
Radagast of Rhosgobel,Creature,4,G,{2}{G}{G},Avatar;Wizard,,discount-first:creature:2,2,3
Radiant Grove,Land,0,G W,,Forest;Plains,W G,etb-tapped,,3
Radiant Summit,Land,0,R W,,Mountain;Plains,W R,etb-tapped-cond,,3
Radiant's Dragoons,Creature,4,W,{3}{W},Human;Soldier,,,2,3
Radiant's Judgment,Instant,3,W,{2}{W},,,draw;removal,,3
"Radiant, Archangel",Creature,5,W,{3}{W}{W},Angel,,,3,3
Radioactive Spider,Creature,1,G,{G},Spider,,,1,3
Raft Security Officer,Creature,2,W,{1}{W},Human;Soldier,,,1,3
Ragamuffin Raptor,Creature,5,G,{4}{G},Dinosaur,,,4,3
Ragged Short Spear,Artifact,2,R,{1}{R},Equipment,,draw,,3
Raging Goblin,Creature,1,R,{R},Goblin;Berserker,,,1,3
Raging Goblinoids,Creature,5,R,{4}{R},Goblin;Berserker;Villain,,,5,3
Rain of Tears,Sorcery,3,B,{1}{B}{B},,,removal,,3
Raise Dead,Sorcery,1,B,{B},,,,,3
Raise the Palisade,Sorcery,5,U,{4}{U},,,,,3
Rakdos Charm,Instant,2,B R,{B}{R},,,removal,,3
Rakdos Signet,Artifact,2,B R,{2},,B R,mana2;ramp;rock,,3
Rakish Scoundrel,Creature,4,B G,{2}{B}{G},Elf;Rogue,,,3,3
Rakshasa Debaser,Creature,6,B,{4}{B}{B},Demon,,,6,3
Rally of Wings,Instant,2,W,{1}{W},,,,,3
Ramosian Captain,Creature,3,W,{1}{W}{W},Human;Rebel,,,2,3
Ramosian Commander,Creature,4,W,{2}{W}{W},Human;Rebel,,,2,3
Ramosian Rally,Instant,4,W,{3}{W},,,,,3
Ramosian Sergeant,Creature,1,W,{W},Human;Rebel,,,1,3
Ramosian Sky Marshal,Creature,5,W,{3}{W}{W},Human;Rebel,,,3,3
Rampant Growth,Sorcery,2,G,{1}{G},,,fetch:basic;ramp,,3
Rancor,Enchantment,1,G,{G},Aura,,,,3
Rancorous Archaic,Creature,5,,{5},Avatar,,,2,3
Rangers' Refueler,Artifact,2,U,{1}{U},Vehicle,,draw,3,3
Ransack,Sorcery,4,U,{3}{U},,,,,3
"Raphael, Most Attitude",Creature,4,R,{3}{R},Mutant;Ninja;Turtle,,,4,3
Rapid Rescue,Instant,1,G,{G},,,,,3
Rapier Wit,Instant,2,W,{1}{W},,,draw,,3
Rappelling Scouts,Creature,4,W,{2}{W}{W},Human;Rebel;Scout,,,1,3
Rathi Fiend,Creature,4,B,{3}{B},Phyrexian;Horror;Mercenary,,,2,3
"Raubahn, Bull of Ala Mhigo",Creature,2,R,{1}{R},Human;Warrior,,,2,3
Raven Familiar,Creature,3,U,{2}{U},Bird,,,1,3
Ravenhill Flock,Creature,4,U,{3}{U},Bird,,draw,1,3
Ravening Warg,Creature,2,B,{1}{B},Wolf,,,2,3
Raze,Sorcery,1,R,{R},,,removal,,3
Razor Rings,Instant,2,W,{1}{W},,,,,3
Razortooth Rats,Creature,3,B,{2}{B},Rat,,,2,3
Reach the Horizon,Sorcery,4,G,{3}{G},,,fetch:basic;ramp,,3
Read the Bones,Sorcery,3,B,{2}{B},,,draw,,3
Reality Ripple,Instant,2,U,{1}{U},,,,,3
Realm of Koh,Land,0,B,,,B,etb-tapped-cond,,3
Reaper's Scythe,Artifact,3,B,{2}{B},Equipment,,,,3
Reaping Willow,Creature,4,B W,{1}{W/B}{W/B}{W/B},Treefolk;Cleric,,,3,3
Rearing Embermare,Creature,5,R,{4}{R},Horse;Beast,,,4,3
Rebellious Captives,Creature,2,G,{1}{G},Human;Peasant;Ally,,,2,3
Rebound,Instant,2,U,{1}{U},,,,,3
Rebuild,Instant,3,U,{2}{U},,,draw,,3
Reckless Abandon,Sorcery,1,R,{R},,,,,3
Reckless Lackey,Creature,1,R,{R},Goblin;Pirate,W U B R G,dork;draw;ramp,1,3
Reckless Velocitaur,Creature,4,R,{3}{R},Minotaur;Pilot,,,3,3
Reconnaissance Mission,Enchantment,4,U,{2}{U}{U},,,draw,,3
"Red Guardian, Super-Soldier",Creature,3,W,{2}{W},Human;Soldier;Villain,,,2,3
Red Herring,Creature,2,R,{1}{R},Clue;Fish,,draw,2,3
Red Hulk,Creature,6,R,{4}{R}{R},Gamma;Berserker;Villain,,,6,3
Red Room Recruit,Creature,2,B,{1}{B},Human;Spy;Villain,,draw,1,3
"Red XIII, Proud Warrior",Creature,3,G R,{1}{R}{G},Beast;Warrior,,,3,3
Redrock Sentinel,Creature,3,,{3},Golem,W U B R G,dork;draw;ramp;rock,2,3
Reenact the Crime,Instant,4,U,{1}{U}{U}{U},,,removal,,3
Rehearsed Debater,Creature,3,W,{2}{W},Djinn;Bard,,,3,3
Reign of the Pit,Sorcery,6,B,{4}{B}{B},,,,,3
Relic Retriever,Creature,2,R,{1}{R},Spirit;Monkey,W U B R G,dork;ramp,2,3
Relic of Legends,Artifact,3,,{3},,W U B R G,ramp;rock,,3
Reliquary Monk,Creature,3,W,{2}{W},Human;Monk;Cleric,,,2,3
Reliquary Tower,Land,0,,,,C,,,3
Relm's Sketching,Sorcery,4,U,{2}{U}{U},,,,,3
Reluctant Dounguard,Creature,3,W,{2}{W},Kithkin;Soldier,,,4,3
Remedy,Instant,2,W,{1}{W},,,,,3
Remorseful Cleric,Creature,2,W,{1}{W},Spirit;Cleric,,,2,3
Remote Farm,Land,0,W,,,W,etb-tapped;mana2,,3
Remove Soul,Instant,2,U,{1}{U},,,counter,,3
Render Speechless,Sorcery,4,B W,{2}{W}{B},,,,,3
Rending Volley,Instant,1,R,{R},,,,,3
"Renet, Temporal Apprentice",Creature,5,U,{3}{U}{U},Human;Wizard,,,4,3
Reno and Rude,Creature,2,B,{1}{B},Human;Assassin,,,2,3
Renounce,Instant,2,W,{1}{W},,,,,3
Rent Is Due,Enchantment,1,W,{W},,,draw,,3
Repel Calamity,Instant,2,W,{1}{W},,,removal,,3
Repopulate,Instant,2,G,{1}{G},,,draw,,3
Reprieve,Instant,2,W,{1}{W},,,draw,,3
"Reptil, Dinomorpher",Creature,1,G,{G},Human;Hero,,,1,3
Repulsor Blast,Sorcery,4,R,{3}{R},,,,,3
Requisition Raid,Sorcery,1,W,{W},,,removal,,3
Rescind,Instant,3,U,{1}{U}{U},,,draw,,3
"Rescue, Pepper Potts",Creature,2,U,{1}{U},Human;Hero,,,2,3
Resentful Revelation,Sorcery,2,B,{1}{B},,,,,3
Resistance Fighter,Creature,1,W,{W},Human;Soldier,,,1,3
Restorative Technique,Sorcery,3,G,{2}{G},,,,,3
Retched Wretch,Creature,3,B,{2}{B},Goblin,,,4,3
Rethink,Instant,3,U,{2}{U},,,counter,,3
Retrieve the Esper,Sorcery,4,U,{3}{U},,,,,3
Return the Favor,Instant,2,R,{R}{R},,,,,3
Return to the Sewers,Instant,4,U,{3}{U},,,,,3
Revered Elder,Creature,3,W,{2}{W},Human;Cleric,,,1,3
Reverent Howl,Instant,3,B,{2}{B},,,,,3
Reverent Mantra,Instant,4,W,{3}{W},,,,,3
Reverent Silence,Sorcery,4,G,{3}{G},,,wipe,,3
Rewrite History,Enchantment,3,U,{2}{U},Plan,,draw,,3
Rhino's Rampage,Sorcery,1,G R,{R/G},,,,,3
"Rhino, Barreling Brute",Creature,7,G R,{3}{R}{R}{G}{G},Human;Villain,,draw,6,3
Rhovanion Rampager,Creature,3,B,{2}{B},Wolf,,,3,3
Rhystic Cave,Land,0,,,,W U B R G,,,3
Rhystic Circle,Enchantment,4,W,{2}{W}{W},,,,,3
Rhystic Deluge,Enchantment,3,U,{2}{U},,,,,3
Rhystic Lightning,Instant,3,R,{2}{R},,,,,3
Rhystic Scrying,Sorcery,4,U,{2}{U}{U},,,draw,,3
Rhystic Shield,Instant,2,W,{1}{W},,,,,3
Rhystic Study,Enchantment,3,U,{2}{U},,,draw,,3
Rhystic Syphon,Sorcery,5,B,{3}{B}{B},,,,,3
Rhythm of the Wild,Enchantment,3,G R,{1}{R}{G},,,,,3
Ribbon Snake,Creature,3,U,{1}{U}{U},Snake,,,2,3
Ribtruss Roaster,Creature,5,G,{4}{G},Troll;Druid,,,3,3
"Rick Jones, Destined Sidekick",Creature,1,G,{G},Human;Advisor,,,0,3
Riddles in the Dark,Instant,3,U,{2}{U},,,,,3
Ride's End,Instant,5,W,{4}{W},,,removal,,3
Righteous Aura,Enchantment,2,W,{1}{W},,,,,3
Righteous Fury,Sorcery,6,W,{4}{W}{W},,,wipe,,3
Righteous Indignation,Enchantment,3,W,{2}{W},,,,,3
Rimefire Torque,Artifact,2,U,{1}{U},,,,,3
Ring of Gix,Artifact,3,,{3},,,,,3
Ring of the Lucii,Artifact,4,,{4},,C,mana2;ramp;rock,,3
Rip Apart,Sorcery,2,R W,{R}{W},,,removal,,3
Rishadan Airship,Creature,3,U,{2}{U},Human;Pirate,,,3,3
Rishadan Brigand,Creature,5,U,{4}{U},Human;Pirate,,,3,3
Risky Shortcut,Sorcery,3,B,{2}{B},,,draw,,3
Rite of Replication,Sorcery,4,U,{2}{U}{U},,,,,3
"Rith, Liberated Primeval",Creature,5,G R W,{2}{R}{G}{W},Dragon,,,5,3
Riverpyre Verge,Land,0,R U,,,U R,,,3
"Roads Go Ever, Ever On",Enchantment,2,W,{1}{W},Saga,,fetch:basic-plains,,3
Roadside Assistance,Enchantment,3,W,{2}{W},Aura,,,,3
Roadside Reliquary,Land,0,,,,C,draw,,3
